account_id,username,platform,follower_count,posts_per_week,engagement_rate,ad_spend_(usd),conversion_rate,campaign_reach,follower_category,engagement_level,posting_intensity
1,harrislisa,TikTok,54217,3,0.0986,538.1,0.049,1308,Small,Medium,Low
2,rhicks,LinkedIn,987518,5,0.0834,479.24,0.0174,13302,Large,Low,Medium
3,qthomas,Facebook,218870,3,0.102,150.36,0.0318,11043,Small,High,Low
4,carlosholt,Instagram,207432,6,0.0834,932.62,0.04,12074,Small,Low,High
5,parsonsashley,Facebook,350204,2,0.0642,504.44,0.0463,14083,Medium,Low,Low
6,nicole57,Facebook,547069,6,0.0834,804.4,0.0182,26129,Medium,Low,High
7,tammy32,Twitter,267622,7,0.0856,884.06,0.0196,1461,Small,Medium,High
8,stephaniehouse,TikTok,870279,2,0.0642,376.75,0.0105,12523,Large,Low,Low
9,andrewgregory,TikTok,40872,1,0.0834,352.48,0.0278,29048,Small,Low,Low
10,amanda20,Facebook,591103,2,0.102,907.34,0.0443,8437,Medium,High,Low
11,qhood,TikTok,511595,1,0.0642,610.44,0.0116,45067,Medium,Low,Low
12,tprice,TikTok,827728,6,0.0642,858.82,0.0342,29938,Large,Low,High
13,robertpalmer,Instagram,637204,4,0.0642,924.61,0.0143,38384,Medium,Low,Medium
14,gilbertdavid,Twitter,866806,2,0.0642,757.24,0.0423,37502,Large,Low,Low
15,gsharp,Twitter,148081,3,0.0856,98.99,0.0118,25808,Small,Medium,Low
16,katieking,Facebook,618549,3,0.0834,887.03,0.0249,7280,Medium,Low,Low
17,michaelgonzales,Twitter,412047,1,0.0642,869.5,0.0155,1453,Medium,Low,Low
18,jeff87,Facebook,988072,6,0.102,997.04,0.0412,3879,Large,High,High
19,lrusso,Instagram,396431,3,0.0856,222.59,0.0193,15123,Medium,Medium,Low
20,yvettepotts,TikTok,653790,1,0.0642,129.94,0.0413,12944,Medium,Low,Low
21,mcculloughedward,Facebook,768753,5,0.102,741.67,0.0105,5073,Large,High,Medium
22,destinymartinez,Facebook,716720,1,0.0856,423.76,0.044,20004,Large,Medium,Low
23,carlosholt,TikTok,693593,5,0.102,779.45,0.0208,4053,Large,High,Medium
24,sancheztroy,TikTok,680719,5,0.102,794.46,0.0261,42691,Large,High,Medium
25,cassandramiles,Facebook,825951,2,0.0856,317.31,0.0427,42518,Large,Medium,Low
26,brian06,Facebook,480900,7,0.0986,357.45,0.0412,49640,Medium,Medium,High
27,kwashington,TikTok,361099,4,0.0986,968.85,0.0239,48006,Medium,Medium,Medium
28,hevans,Facebook,941481,4,0.0642,780.56,0.0283,21873,Large,Low,Medium
29,qramos,Twitter,8146,4,0.0856,143.89,0.0245,26481,Small,Medium,Medium
30,ctorres,Facebook,758089,5,0.0856,741.79,0.0432,8841,Large,Medium,Medium
31,pamelagonzalez,Facebook,106222,2,0.0834,868.53,0.0262,24586,Small,Low,Low
32,davisjose,LinkedIn,706138,1,0.0856,872.61,0.0493,32890,Large,Medium,Low
33,ctorres,TikTok,126614,4,0.0642,301.92,0.0117,16710,Small,Low,Medium
34,palmerjeffrey,Twitter,768799,3,0.0834,578.63,0.0133,36091,Large,Low,Low
35,vgriffith,Twitter,938465,3,0.0834,422.04,0.0418,7719,Large,Low,Low
36,hardyjames,Twitter,803181,5,0.0986,798.96,0.0357,48056,Large,Medium,Medium
37,nicolegalloway,Twitter,861883,3,0.0834,894.32,0.0496,41776,Large,Low,Low
38,lisa14,TikTok,588597,6,0.0856,932.62,0.038,27980,Medium,Medium,High
39,gacosta,LinkedIn,863013,6,0.0834,287.9,0.0298,38547,Large,Low,High
40,lori07,Instagram,381266,3,0.0834,278.42,0.0202,7876,Medium,Low,Low
41,ipreston,Instagram,203880,1,0.0834,244.21,0.0492,2885,Small,Low,Low
42,dmiller,Instagram,841408,1,0.0986,224.07,0.0245,16849,Large,Medium,Low
43,nblake,Facebook,861745,1,0.0986,133.64,0.0416,28711,Large,Medium,Low
44,larry14,Instagram,792801,2,0.0642,54.61,0.0165,3418,Large,Low,Low
45,kevingarcia,Facebook,336649,3,0.0856,742.79,0.0307,31216,Small,Medium,Low
46,laura55,Instagram,109261,6,0.0986,546.44,0.0419,22974,Small,Medium,High
47,michellemcdaniel,TikTok,978420,5,0.0834,94.05,0.0302,6341,Large,Low,Medium
48,brandon78,LinkedIn,194257,6,0.0642,868.22,0.0216,32574,Small,Low,High
49,racheldodson,Twitter,338103,5,0.0642,162.02,0.0133,41395,Small,Low,Medium
50,brady22,Instagram,26474,1,0.0856,771.95,0.0237,46602,Small,Medium,Low
51,hbrooks,Instagram,636805,5,0.0834,139.18,0.0385,42138,Medium,Low,Medium
52,vincentwang,TikTok,304270,2,0.0834,135.73,0.0423,15528,Small,Low,Low
53,grahamallison,LinkedIn,870866,3,0.0834,301.92,0.0104,35612,Large,Low,Low
54,elizabeth86,Facebook,179124,1,0.0642,557.81,0.0178,18973,Small,Low,Low
55,lisa14,TikTok,271022,3,0.102,851.98,0.0354,22596,Small,High,Low
56,jonesaustin,Twitter,572419,4,0.0642,966.47,0.0369,39144,Medium,Low,Medium
57,beth19,TikTok,206004,7,0.0856,570.51,0.0448,18786,Small,Medium,High
58,julianfisher,Facebook,224019,7,0.0642,519.52,0.0115,15713,Small,Low,High
59,kstewart,TikTok,589034,5,0.102,516.15,0.0143,17645,Medium,High,Medium
60,jaimeedwards,Instagram,521857,6,0.102,902.41,0.0328,46702,Medium,High,High
61,ashleycooper,Instagram,647277,1,0.0834,396.53,0.0192,3354,Medium,Low,Low
62,tristanpearson,Twitter,625432,3,0.0856,514.6,0.0397,5100,Medium,Medium,Low
63,oprice,Twitter,417945,7,0.0986,383.32,0.0358,26750,Medium,Medium,High
64,mhart,LinkedIn,81376,5,0.0856,649.02,0.0113,2427,Small,Medium,Medium
65,smurray,Facebook,163109,5,0.0986,841.85,0.0112,48337,Small,Medium,Medium
66,riverakevin,Instagram,193830,1,0.0986,488.49,0.0395,25114,Small,Medium,Low
67,julianfisher,Instagram,174959,1,0.0642,139.63,0.0328,35257,Small,Low,Low
68,lisa32,Facebook,20239,5,0.0642,630.77,0.0154,17113,Small,Low,Medium
69,timothynavarro,Twitter,973806,4,0.0834,973.57,0.012,16840,Large,Low,Medium
70,lori07,TikTok,906762,6,0.0642,233.99,0.0189,48861,Large,Low,High
71,cooperpaul,Instagram,54991,1,0.0642,379.97,0.0297,5513,Small,Low,Low
72,toneill,Facebook,644118,7,0.0642,382.74,0.0307,9407,Medium,Low,High
73,allen72,LinkedIn,595994,6,0.102,933.92,0.0381,42791,Medium,High,High
74,kathymacias,Instagram,107881,2,0.0856,888.13,0.0286,40195,Small,Medium,Low
75,james60,Instagram,493602,2,0.0856,276.36,0.0283,6020,Medium,Medium,Low
76,nolancorey,Facebook,210960,4,0.0642,81.51,0.0293,28986,Small,Low,Medium
77,carlosrivera,Facebook,13228,7,0.0986,728.88,0.046,42386,Small,Medium,High
78,diana02,Instagram,410903,6,0.0856,457.25,0.0385,21955,Medium,Medium,High
79,ashley37,Instagram,677499,5,0.0642,651.28,0.0464,35055,Large,Low,Medium
80,kevin80,Twitter,685323,3,0.0986,913.44,0.0275,7410,Large,Medium,Low
81,jilliannielsen,Instagram,753260,2,0.0856,277.98,0.0334,6331,Large,Medium,Low
82,shermanjoshua,Facebook,199035,6,0.0986,703.39,0.045,45607,Small,Medium,High
83,vdavila,Instagram,915675,5,0.0986,882.09,0.0342,46207,Large,Medium,Medium
84,leemorales,Instagram,337226,7,0.0834,966.01,0.0493,26025,Small,Low,High
85,jonathanjones,Twitter,122372,7,0.0642,894.32,0.0201,25945,Small,Low,High
86,anthonyanderson,LinkedIn,577623,4,0.0986,190.5,0.0139,5919,Medium,Medium,Medium
87,holmesjohn,LinkedIn,6876,1,0.0856,522.77,0.026,2242,Small,Medium,Low
88,bobbystrickland,LinkedIn,944581,3,0.0856,283.03,0.0315,16888,Large,Medium,Low
89,jeffrey25,LinkedIn,567055,1,0.0642,117.05,0.0365,23557,Medium,Low,Low
90,cynthia04,Facebook,469429,1,0.0834,903.99,0.0106,44375,Medium,Low,Low
91,thomassherri,LinkedIn,760780,4,0.0834,540.02,0.0215,43906,Large,Low,Medium
92,eryan,Instagram,531919,6,0.0986,177.32,0.0361,21099,Medium,Medium,High
93,shanejohnson,Twitter,551867,4,0.0856,307.41,0.0145,3830,Medium,Medium,Medium
94,benjamingutierrez,Instagram,859655,3,0.0642,222.59,0.0208,14641,Large,Low,Low
95,marquezedward,Twitter,487293,1,0.102,852.45,0.031,32055,Medium,High,Low
96,tjohnson,Twitter,697093,3,0.102,880.42,0.0119,10233,Large,High,Low
97,john57,Twitter,400038,7,0.0834,973.44,0.0318,7021,Medium,Low,High
98,nicolegalloway,TikTok,346519,4,0.0834,596.41,0.04,49519,Medium,Low,Medium
99,jjones,Twitter,171759,3,0.0834,946.08,0.0354,30491,Small,Low,Low
100,smithedward,Twitter,623759,6,0.102,952.28,0.0409,26759,Medium,High,High
101,michellemcdaniel,TikTok,372070,3,0.102,62.71,0.0147,31131,Medium,High,Low
102,erodriguez,Twitter,575006,5,0.0834,992.22,0.0373,36574,Medium,Low,Medium
103,robinsonlindsey,Facebook,95233,5,0.0986,262.66,0.0102,8039,Small,Medium,Medium
104,ubecker,Instagram,650881,6,0.0856,222.59,0.0128,17980,Medium,Medium,High
105,trobinson,Facebook,750736,1,0.0986,735.9,0.0354,46860,Large,Medium,Low
106,trobinson,Twitter,567322,2,0.0834,169.32,0.0415,2468,Medium,Low,Low
107,smithkristin,Twitter,650362,6,0.0834,253.21,0.0432,26080,Medium,Low,High
108,ugrant,Twitter,215690,6,0.0986,338.05,0.0349,41263,Small,Medium,High
109,michaelflores,Twitter,58821,6,0.0856,973.57,0.0416,2851,Small,Medium,High
110,joandyer,TikTok,929931,2,0.102,993.19,0.0172,31368,Large,High,Low
111,elizabethelliott,LinkedIn,329853,4,0.0834,694.28,0.0188,22695,Small,Low,Medium
112,emily58,TikTok,178412,4,0.0642,715.11,0.035,37391,Small,Low,Medium
113,sthompson,Facebook,88284,2,0.0986,596.52,0.0298,2173,Small,Medium,Low
114,charleswilliams,Instagram,237336,3,0.0642,602.6,0.0105,19913,Small,Low,Low
115,dmiller,TikTok,83982,7,0.0856,283.03,0.023,1515,Small,Medium,High
116,fduffy,Facebook,758261,7,0.0856,189.36,0.0186,25804,Large,Medium,High
117,sharris,TikTok,730810,4,0.0834,370.17,0.0159,7351,Large,Low,Medium
118,monroedavid,Twitter,897241,1,0.0986,310.36,0.0471,11638,Large,Medium,Low
119,adunn,Instagram,354687,6,0.0834,926.97,0.0307,6325,Medium,Low,High
120,stevensondesiree,TikTok,163651,7,0.0986,252.29,0.0453,5736,Small,Medium,High
121,reidkristine,TikTok,632857,6,0.102,780.56,0.0248,5060,Medium,High,High
122,kathleenmason,LinkedIn,959601,7,0.0986,958.39,0.0439,5226,Large,Medium,High
123,gmeyer,Facebook,410430,5,0.0642,323.15,0.0171,46212,Medium,Low,Medium
124,owensnatalie,TikTok,945242,6,0.0834,398.1,0.0282,17878,Large,Low,High
125,fmolina,Instagram,371274,7,0.0986,841.85,0.0137,43349,Medium,Medium,High
126,bberry,Twitter,197710,4,0.0856,485.02,0.0108,34466,Small,Medium,Medium
127,chavezcourtney,Instagram,277076,7,0.0642,432.08,0.0456,21374,Small,Low,High
128,angelarose,Twitter,368934,1,0.0834,261.62,0.0483,39561,Medium,Low,Low
129,nblake,Facebook,775511,3,0.0986,473.57,0.0432,26720,Large,Medium,Low
130,gsharp,Facebook,33312,3,0.102,485.02,0.0186,18243,Small,High,Low
131,julianfisher,Instagram,772672,3,0.102,514.07,0.0479,28632,Large,High,Low
132,robinsonmark,Twitter,552070,6,0.0986,966.47,0.0354,23441,Medium,Medium,High
133,trobinson,Facebook,221476,5,0.0986,947.76,0.0281,4356,Small,Medium,Medium
134,hevans,Twitter,903942,5,0.0856,727.33,0.0193,40336,Large,Medium,Medium
135,mckenzieadam,Instagram,933563,5,0.0834,630.21,0.0421,39088,Large,Low,Medium
136,aflores,Instagram,557762,3,0.0986,214.12,0.0178,17615,Medium,Medium,Low
137,michaellopez,TikTok,204527,6,0.0856,452.19,0.0272,19725,Small,Medium,High
138,bpham,Instagram,975273,6,0.102,649.02,0.0182,35495,Large,High,High
139,jenniferwaller,TikTok,630147,5,0.102,797.64,0.0103,46343,Medium,High,Medium
140,hellis,LinkedIn,518385,6,0.0834,858.44,0.0401,48129,Medium,Low,High
141,yrodriguez,TikTok,267011,5,0.0642,914.72,0.0245,24771,Small,Low,Medium
142,mitchellpatrick,LinkedIn,446069,1,0.0642,510.99,0.0255,26275,Medium,Low,Low
143,ybrock,Facebook,448733,5,0.0834,97.1,0.0466,12173,Medium,Low,Medium
144,erikthomas,Twitter,407324,3,0.0986,103.1,0.0444,42521,Medium,Medium,Low
145,browndarryl,Twitter,951388,6,0.0642,696.43,0.0139,47990,Large,Low,High
146,ulandry,TikTok,494885,3,0.102,913.44,0.0205,49576,Medium,High,Low
147,qcannon,LinkedIn,342158,5,0.0986,147.17,0.0251,2796,Small,Medium,Medium
148,victoria86,Facebook,40250,5,0.102,327.81,0.0216,10315,Small,High,Medium
149,claudiaferrell,Twitter,593696,3,0.0834,217.73,0.0493,25760,Medium,Low,Low
150,davistammy,TikTok,250584,3,0.102,133.64,0.0318,14548,Small,High,Low
151,tyler31,TikTok,426663,6,0.0856,274.72,0.0398,41345,Medium,Medium,High
152,smithedward,Instagram,379585,4,0.0986,236.48,0.0371,27535,Medium,Medium,Medium
153,nicole57,Instagram,729414,3,0.0986,877.89,0.0238,3796,Large,Medium,Low
154,gregory84,Facebook,17821,4,0.0986,789.28,0.0372,29734,Small,Medium,Medium
155,ireyes,LinkedIn,416425,4,0.102,869.07,0.0145,34247,Medium,High,Medium
156,krystal64,Twitter,502866,7,0.0986,719.56,0.0105,34880,Medium,Medium,High
157,colemanbrooke,Twitter,298600,7,0.0856,317.82,0.0427,2119,Small,Medium,High
158,fwalker,Facebook,388576,6,0.0642,283.03,0.0392,10800,Medium,Low,High
159,samanthajohnson,LinkedIn,516975,3,0.0642,432.65,0.0243,42117,Medium,Low,Low
160,caitlin54,Facebook,194157,5,0.0856,376.93,0.0186,4123,Small,Medium,Medium
161,nolancorey,Facebook,470687,4,0.0834,536.5,0.0128,2486,Medium,Low,Medium
162,john77,LinkedIn,81219,5,0.0986,262.66,0.0108,18591,Small,Medium,Medium
163,rebekah51,LinkedIn,65092,7,0.102,876.46,0.0208,31598,Small,High,High
164,thomassherri,Facebook,543409,3,0.0834,539.69,0.0166,6402,Medium,Low,Low
165,gutierreznicholas,TikTok,437115,7,0.0834,969.55,0.0262,32118,Medium,Low,High
166,tinajones,Instagram,73272,3,0.0856,452.91,0.0318,10241,Small,Medium,Low
167,ycole,Twitter,199621,7,0.0856,496.72,0.0262,26063,Small,Medium,High
168,cooklinda,Twitter,770764,5,0.0642,840.87,0.0113,1920,Large,Low,Medium
169,carlosrivera,LinkedIn,502948,6,0.0856,405.98,0.0247,35690,Medium,Medium,High
